Mouser	MPN	QTY
	RS1A-E3/61T	1
	REF191ESZ	1
81-GRM39X103K50D	GRM188R71H103KA01D	5
81-GRM39X104K25	GRM188R71E104KA01D	11
963-EMK107B7105KA-T	EMK107B7105KA-T	7
810-C1608X7R1H333M	C1608X7R1H333M	1
963-LMK212B7106KG-TD	LMK212B7106KG-TD	4
80-T491X106M050ZT	T491X106M050ZT	2
71-597D336X9050F2T	597D336X9050F2T	3
	T495X337K010ATE060	2
580-OKI-T/3-W32P-C	OKI-T/3-W32P-C	1
580-UQQ-24/4-Q12PB-C	UQQ-24/4-Q12PB-C	1
	VHB200W-Q24-S12	1
	AD5602BKSZ-2500RL7	1
	3413.0330.22	1
	3413.0332.22	1
		3
571-1776119-2	1776119-2	2
534-1024	1024	1
538-53426-0810	53426-0210	1
538-53426-0310	53426-0310	5
571-1776119-4	1776119-4	2
538-53426-0410	53426-0410	1
571-1776119-6	1776119-6	2
538-53426-0810	53426-0810	1
810-MMZ1005Y-301C	MMZ1005Y301C	1
859-LTST-C230AKT	LTST-C230AKT	4
859-LTST-C230GKT	LTST-C230GKT	1
859-LTST-C150EKT	LTST-C150EKT	5
579-PIC18F87K90TI/PT	PIC18F87K90	1
571-1734035-2	1734035-2	1
781-SIR414DP-GE3	SIR414DP-T1-GE3	1
	SIR414DP-T1-GE3	1
781-SI7611DN-T1-GE3	SI7611DN-T1-GE3	4
	LM5069MM-1/NOPB	1
	LTC4413EDD#PBF	1
	LTC4416EMS#PBF	1
	CPC1709J	4
	CPC1020NTR	2
71-CRCW0603-1.0K-E3	CRCW06031K00FKEA	11
71-CRCW0603-1.0M-E3	CRCW06031M00FKEA	1
71-CRCW0603-1.2K-E3	CRCW06031K20FKEA	1
71-CRCW0603-1.5K-E3	CRCW06031K50FKEA	2
71-CRCW0603-1.8K-E3	CRCW06031K80FKEA	1
71-CRCW0603-2.15K-E3	CRCW06032K15FKEA	4
71-CRCW0603-2.4K-E3	CRCW06032K40FKEA	1
71-CRCW0603-3.09K-E3	CRCW06033K09FKEA	1
71-CRCW0603-4.42K-E3	CRCW06034K42FKEA	5
71-CRCW0603-4.7K-E3	CRCW06034K70FKEA	1
71-CRCW0603-9.09K-E3	CRCW06039K09FKEA	3
71-CRCW0603-10K-E3	CRCW060310K0FKEA	9
71-CRCW0603-11.5K-E3	CRCW060311K5FKEA	1
71-CRCW0603-15K-E3	CRCW060315K0FKEA	1
71-CRCW0603-27-E3	CRCW060327R0FKEA	2
71-CRCW0603-47K-E3	CRCW060347K0FKEA	1
71-CRCW0603-47.5K-E3	CRCW060347K5FKEA	1
71-CRCW0603-205-E3	CRCW0603205RFKEA	4
71-CRCW0603-330-E3	CRCW0603330RFKEA	1
71-CRCW0603-470-E3	CRCW0603470RFKEA	1
71-CRCW0603-470K-E3	CRCW0603470KFKEA	1
71-WSH28185L000FEA	WSH28185L000FEA	1
576-SMBJ36A	SMBJ36A	2
576-SMBJ20A	SMBJ20A	2
	DM1AA-SF-PEJ(21)	1
	28036	1
	FT232BL-REEL	1
	CCR6.0MUC8WT	1
